지정 닉네임 (Assigned Nickname),"[역동성] 이 그림에서 느껴지는 ‘역동적인 느낌의 정도 (다이나믹한 정도) ' 는 어느정도인가요? [Sense of Dynamics] Could you clarify the perceived level of ""dynamic feeling"" in this picture?",[[역동성] 그림의 어느 부분 이 '역동적인 느낌의 정도'를 판단 하는데 영향을 주었나요?? [Sense of Dynamics] Which part of the picture influenced the perception of the 'degree of sense of dynamics'?] [,[[역동성] 그림의 어느 부분 이 '역동적인 느낌의 정도'를 판단 하는데 영향을 주었나요?? [Sense of Dynamics] Which part of the picture influenced the perception of the 'degree of sense of dynamics'?] [,[[역동성] 그림의 어느 부분 이 '역동적인 느낌의 정도'를 판단 하는데 영향을 주었나요?? [Sense of Dynamics] Which part of the picture influenced the perception of the 'degree of sense of dynamics'?] [,[[역동성] 그림의 어느 부분 이 '역동적인 느낌의 정도'를 판단 하는데 영향을 주었나요?? [Sense of Dynamics] Which part of the picture influenced the perception of the 'degree of sense of dynamics'?] [,[역동성] 해당 부분이 역동적 느낌의 정도에 영향을 느끼게한 이유 는 무엇인지 설명해주세요. [Sense of Dynamics] Please explain why the checked areas have an impact on the perceived level of dynamism in the picture.,[음악적 표현] 이 그림,[음악적 표현] 이 그림,[음악적 표현] 이 그림,"이 그림을 표현한 음악이 있다면, 그림의 역동적인 정도 외에 또 표현되었으면 하는 느낌 이 있나요? If there were music representing this picture, do you have any additional feelings you would like to be expressed other than the ""dynamics""?"
나비,7,,"[열B] colB,[열C] colC","[열B] colB,[열C] colC",,움직이는 동작이 뭔가를 하고잇는것같아서. ,8,4,8,없음
rub,8,,,,"[열B] colB,[열C] colC","I think tipping toe is not a regular pose that we will do in our dailylife as a static pose, as a result, I assumed it will be a capture of the move during a dance.",8 |  It reminds me of playful musics like Ｍozart,7 |  high pitch will be more vivid in general,9 |  Still think it should be a playful music with a lot of ornaments,"playful, Appassionato, I think it should be a bit more than Allegro ( which usually be used for ballet bgm)"
Daisy,8,,"[열B] colB,[열C] colC,[열D] colD,[열A] colA","[열C] colC,[열D] colD,[열B] colB,[열A] colA",[열B] colB,"I could see two people who are dancing in the middle, although other people around these two are standing still, which affected my scoring for the “dynamic feeling .”",8 |  The two people are dancing enthusiastically.,"8 |  I think the two people’s movements are of some high-pitched dance, probably because this is an old painting and I think they are dancing to some classic music.","8 |  Again, they look so enthusiastic while dancing, so they might have heard some happy music.","Since there are two people dancing in this painting, I guess a sense of companionship while enjoying music can be included."
Doky,5,,"[열B] colB,[열C] colC","[열B] colB,[열C] colC",,"그림의 색채가 제일 밝기도 하고, 인물의 팔다리 움직임이 가장 역동적으로 보여짐.",7 |  조금 빠른 템포의 음악이 가미되어야 춤을 추는 인물의 동작에 이입감을 줄 수 있을 것 같음.,4 |  너무 높지 않지만 낮지도 않은 (낮음에 가까운) 보통의 피치가 그림의 어두운 배경 색채와 어울릴 것 같음.  가장 역동적인 움직임의 중앙 인물의 색채는 밝지만 전반적으로 그림을 봤을때에는 어두운 느낌이 강함. ,8 |  일단 역동적임을 보여주는 동작이 해당 그림에서는 '춤'이기 때문에 음악의 밀도는 높은 것이 좋을 것 같음.,멜로디적으로 리듬감이 좀 더 있었으면 좋겠음. 
chanpig,5,,"[열B] colB,[열C] colC",,"[열B] colB,[열C] colC",몸이 기울어져있음 ,5 |  두명만 살짝의 기울임만 잇어서 ,5 |  색감이 주는 무거움,5 |  춤을 우와하게 출듯해서 적당히 천천히 움직일듯함  ,없음 
곤듀,5,,"[열B] colB,[열C] colC","[열B] colB,[열C] colC","[열B] colB,[열C] colC",선택한 부분에서 두 사람이 합을 맞추어 춤을 추고 있음이 느껴짐,5 |  그림의 색감 등 전체적인 분위기가 우아한 파티를 연상캐 함,3 |  샘플상의 보통피치는 본 그림에서 느껴지는 분위기에 비해 가볍다고 생각됨. 매우 낮은 피치 또는  매우 낮은 - 보통의 사이정도의 피치가 적당할 것으로 생각함.,5 |  그림을 보자마자 우아함이 연상됨. 따라서 보통의 음의 밀도가 적합하다고 생각함.,없음. 클래식한 피아노 음만으로도 그림을 충분히 표현할 수 있다고 생각함.
이인애,4,,"[열B] colB,[열C] colC",,"[열B] colB,[열C] colC",움직임표현,4,5,3,여유로움
고고,5,,"[열B] colB,[열C] colC",[열B] colB,,손,5,5,5,없음
경,6,,"[열D] colD,[열B] colB,[열C] colC","[열A] colA,[열D] colD,[열B] colB","[열A] colA,[열B] colB","동적인 팔, 다리 동작과 다른 인물의 정적인 다리 동작으로 약간만 동적이라고 느낌.",5 |  빠르지 않게 적당히 동적인 느낌을 잘 드러냄.,2 |  고풍스러운 옷과 어울리는 적당히 동적인 분위기를 잘 드러냄.,2 |  너무 화려하지 않게 적당히 동적인 분위기를 잘 드러냄.,고풍스러운 느낌
yoni,5,,"[열B] colB,[열C] colC","[열B] colB,[열C] colC","[열B] colB,[열C] colC",인물의 움직임 (두 사람 제외하곤 움직임이 느껴지지않음),3,6,2,감정
