,name,artwork,poseType,sod,gRoq1,gRoq2,gRoq3,gRoq4,reasons,tempo_score,tempo,pitch_score,pitch,density_score,density
0,나비,A20,standing,2,,"[열B] colB,[열C] colC","[열B] colB,[열C] colC",,움직임이 없음.,1.0,1,6.0,6 |  새소리가 조금 날 것 같아서 (약간의 높은 음?),2.0,2
1,rub,A20,standing,0,,,[열B] colB,,"this pic is not really moving for me, but i think the artist wants me to notice the waving white dress",1.0,1,6.0,6 |  it's bright but silent,2.0,2 |  I don't want to interrupt the girl by fancy music
2,Daisy,A20,standing,6,"[열A] colA,[열B] colB","[열A] colA,[열B] colB",[열B] colB,[열B] colB,"The road is still. Only the female should be moving, and probably the trees in the forest have their leaves move when there is wind.",3.0,3 |  It gives me a feeling of a peaceful afternoon.,2.0,2 |  The female looks a bit lonely.,2.0,2 |  The female is doing nothing much.
3,Doky,A20,standing,3,,,[열B] colB,,인물의 움직임이 크게 느껴지지는 않아 활기참이 느껴지지는 않지만 인물의 옷 색깔로 인하여 조금 역동적 느낌이 강조됨. (그래도 보통 이하),4.0,"4 |  인물의 행동에는 없지만, 의류의 색채적인 활기찬 부분이나, 환경의 웅장함으로 인하여 너무 느리지는 않은 보통정도의 템포가 어울릴 것 같음.  ",4.0,4 |  vibrant한 빨간 색채와 대비되는 어둡고 웅장한 숲의 느낌이 중화되어 보통의 높낮이가 이상적으로 생각됨. ,6.0,6 |  밀도 역시 보통보다 조금 높거나 딱 보통의 밀도가 그림의 평화로움과 인물의 발랄함을 동시에 잘 표현할 수 있을 것 같음. 
4,chanpig,A20,standing,3,,,[열B] colB,[열B] colB,내리막길에 사람이 나려가다 쉬어서 ,5.0,5 |  걸어내려갈것같아서 ,7.0,7 |  맑은 날에 가벼운 산책하는 느낌,5.0,5 |  산책을하는데 내리막길이라 너무 느리지않고 적당히 
5,곤듀,A20,standing,2,"[열A] colA,[열B] colB","[열A] colA,[열B] colB","[열A] colA,[열B] colB",,숲?을 표현한듯한 부분에서 잎들이 흔들리는 듯한 느낌을 받음,1.0,1 |  그림이 전체적으로 우울함이 느껴짐 샘플상의 보통 이상의 템포는 전혀 떠오르지가 않음,0.0,0 |  개인적으로 그림에서 우울함과 쓸쓸함이 느껴지므로 샘플상의 매우 낮은 음이 적절하다고 생각함,0.0,0 |  개인적으로 이 그림에서는 호소력 짙은 표현이 어울리지 않다고 생각됨
6,이인애,A20,standing,4,,,[열C] colC,"[열B] colB,[열A] colA",선의질감,4.0,4,6.0,6,7.0,7
7,고고,A20,standing,1,,,[열B] colB,,서있는 모습,1.0,1,1.0,1,1.0,1
8,경,A20,standing,1,,,[열B] colB,[열B] colB,가만히 서 있는 인물의 모습을 통해 대체로 정적인 분위기를 자아냄.,2.0,"2 |  정적인 분위기, 잠을 자는 정도는 아니고 가만히 서 있는 모습에 잘 어울림.",2.0,2 |  적당히 정적인 모습을 잘 드러냄.,2.0,2 |  적당히 정적인 모습을 잘 드러냄.
9,yoni,A20,standing,5,,,[열B] colB,[열B] colB,그림의 질감과 옷의 색감,3.0,3,9.0,9,7.0,7
