,name,artwork,poseType,sod,gRoq1,gRoq2,gRoq3,gRoq4,reasons,tempo_score,tempo,pitch_score,pitch,density_score,density
0,나비,A10,fight,10,"[열A] colA,[열B] colB",[열B] colB,"[열B] colB,[열C] colC","[열C] colC,[열D] colD,[열B] colB,[열A] colA",엄청나게 큰 다리의 움직임. 흔들리고있는 전등 (휘청휘청),1.0,10,3.0,3 |  싸우고있는 엄중한 느낌 -- 낮은 음이어울려보임 / 미스테리~~,9.0,9
1,rub,A10,fight,9,[열B] colB,[열C] colC,[열C] colC,,I can see their muscles exerted,3.0,"3 |  I don't think they are in a heated fight, more like a standoff ？",2.0,2 |  Low pitches sounds more masculine,2.0,"2 |  the yellow light makes it more mysterious, I will actually assume it's a secret fight in a closed bar or something instead of a public fights that wants everyone to see"
2,Daisy,A10,fight,7,[열B] colB,"[열B] colB,[열C] colC","[열B] colB,[열C] colC","[열B] colB,[열C] colC,[열D] colD","There are two people fighting, and there is a lamp on the wall which is tilted.",9.0,9 |  The fighting scene looks intense.,7.0,7 |  I think the intensity comes with the high pitch.,8.0,8 |  The intensity comes with the density in the sound too.
3,Doky,A10,fight,8,,"[열B] colB,[열C] colC","[열B] colB,[열C] colC",,건장한 인물의 큰 움직임과 긴장감 넘치는 상황적 묘사,8.0,8 |  긴박함을 잘 표현하는 빠른 템포가 어울림. ,3.0,3 |  색채가 어둡고 상황적으로도 심오하고 어두운 느낌이기 때문에 비교적 낮은 핏치의 음이 어울림.,7.0,7 |  긴박하고 긴장감 넘치는 상황을 강조하기 위하여 밀도는 높은 것이 어울릴 것 같음. 
4,chanpig,A10,fight,8,"[열A] colA,[열B] colB,[열C] colC","[열B] colB,[열C] colC","[열C] colC,[열D] colD","[열A] colA,[열B] colB,[열D] colD",전등이 흔들릴정도로 싸우는 느낌,8.0,8 |  전등이 흔들리고 서로가 엉켜서 싸워서,3.0,3 |  색감도 착하고 싸움이 주는 긴장되는느낌,3.0,3 |  모든게 부서져있고 묵직한 느낌 
5,곤듀,A10,fight,10,[열B] colB,"[열C] colC,[열B] colB","[열B] colB,[열C] colC,[열D] colD,[열A] colA","[열C] colC,[열B] colB,[열D] colD,[열A] colA","인물들이 엉켜서 몸싸움하고 있는 모습, 주변 사물들의 흐트러짐 등 전체적으로 매우 역동적임이 느껴짐",1.0,10 |  그림에서 느껴지는 긴장감에 당연히 매우 빠른 템포가 어울린다고 생각함,0.0,"0 |  그림에서 느껴지는 역동적, 긴장감에 따라 낮은 음이 어울리다고 생각함",1.0,10 |  인물들에게서 느껴지는 긴장감 무거운 공기 흐름에 맞춰 음의 밀도 또한 높은 밀도로 표현하는 것이 어울리다고 생각함
6,이인애,A10,fight,9,[열B] colB,"[열B] colB,[열C] colC","[열A] colA,[열D] colD",[열A] colA,색감 흐트러진 구성,8.0,8,3.0,3,8.0,8
7,고고,A10,fight,8,[열B] colB,"[열B] colB,[열C] colC","[열C] colC,[열B] colB",[열B] colB,싸우는 모습,8.0,8,8.0,8,8.0,8
8,경,A10,fight,8,,[열B] colB,"[열D] colD,[열B] colB,[열C] colC",[열C] colC,힘을 쓰고 있는 자세를 통해 서로 대치하는 역동성을 느낄 수 있음.,9.0,9 |  서로 대치하는 장면에서의 긴장된 분위기와 역동성을 잘 드러냄.,5.0,"5 |  나른하지 않고, 밝지 않은 긴박한 분위기의 역동성을 적당히 잘 드러냄.",7.0,7 |  밝지 않은 분위기의 역동성을 적당히 잘 드러냄.
9,yoni,A10,fight,6,[열B] colB,,,"[열A] colA,[열B] colB,[열C] colC,[열D] colD", 손에 들린 무기 서로 힘주고 밀고있는듯한 자세,3.0,3,3.0,3,2.0,2
